name,type,price,cost,stock,min_stock,max_stock,unit,supplier_id,category,description,barcode,is_active,create_at,update_at
Alface,insumo,,3.5,4,1,8,un,,salada,,,,,
Algemix_Abacaxi,insumo,,27.5,,,,kg,,produtos_po,,,,,
Algemix_Baunilha,insumo,,28.9,,,,kg,,produtos_po,,,,,
Algemix_Creme,insumo,,28.9,,,,kg,,produtos_po,,,,,
Alho,insumo,,20,,,,kg,,tempero,,,,,
Apresuntado,insumo,,21.6,,,,kg,,frios,,,,,
Atum_Solido_170g,insumo,,10.89,,,,kg,,enlatados,,,,,
Azeitonas_1kg,insumo,,35.9,,,,kg,,bags,,,,,
Bacon_Inteiro,insumo,,37.9,,,,kg,,processados,,,,,
Batata_Palha,insumo,,28,,,,kg,,snacks,,,,,
Batata_Palito,insumo,,23.9,,,,kg,,legumes,,,,,
Cacau_Po,insumo,,38.9,,,,kg,,produtos_po,,,,,
Calabresa,insumo,,24.9,,,,kg,,processados,,,,,
Cascão,insumo,,59.9,,,,un,,confeitos,,,,,
Casquinha,insumo,,102.5,,,,un,,confeitos,,,,,
Catchup,insumo,,10,,,,kg,,molhos,,,,,
Catchup_Sache_8g,insumo,,14.99,,,,un,,molhos,,,,,
Creme_Catupiry,insumo,,59.9,,,,kg,,cremes,,,,,
Cebola,insumo,,6.69,,,,kg,,legumes,,,,,
Cebola_verde,insumo,,2.99,,,,un,,codimentos,,,,,
Chocolate_Baton,insumo,,34.9,,,,un,,chocolates,,,,,
Coração_Frango_1kg,insumo,,30,,,,kg,,miudos,,,,,
Creme_Leite,insumo,,2.39,,,,kg,,cremes,,,,,
Ervilha_Drenada,insumo,,15,,,,kg,,graos,,,,,
Ervilha,insumo,,29.98,,,,kg,,graos,,,,,
Farinha_Trigo,insumo,,18.5,,,,kg,,farinhas,,,,,
Fermento_Bio_Seco_500g,insumo,,21.9,,,,kg,,fermentos,,,,,
Frango,insumo,,18,,,,kg,,carnes,,,,,
Guisado,insumo,,155,,,,kg,,carnes,,,,,
Leite_Po,insumo,,34.9,,,,kg,,produtos_po,,,,,
Limão,insumo,,3.99,,,,kg,,futas,,,,,
Maionese_Caseira,insumo,,0.37,,,,kg,,molhos,,,,,
Maionese_Sache_8g,insumo,,15.9,,,,un,,molhos,,,,,
Manjericão,insumo,,14.8,,,,kg,,codimentos,,,,,
Margarina_1kg,insumo,,12.48,,,,kg,,cremes,,,,,
Massa De Pizza,insumo,,1.24,,,,un,,confeitos,,,,,
Massa_Pastel_Dg,insumo,,4.99,,,,kg,,confeitos,,,,,
Milho,insumo,,29.98,,,,kg,,graos,,,,,
Molho_Pizza,insumo,,11.59,,,,kg,,molhos,,,,,
Mostarda,insumo,,9.19,,,,kg,,molhos,,,,,
Mostarda_Sache_8g,insumo,,15.9,,,,un,,molhos,,,,,
Azeite_Oliva_500ml,insumo,,79.8,,,,l,,codimentos,,,,,
Oregano,insumo,,14.8,,,,kg,,codimentos,,,,,
Ovos_Codorna,insumo,,13.69,,,,kg,,ovos,,,,,
Ovos,insumo,,20,,,,un,,ovos,,,,,
Palmito,insumo,,17.9,,,,kg,,salada,,,,,
Pão_Dog,insumo,,1.8,,,,un,,confeitos,,,,,
Pão_Xis,insumo,,1.8,,,,un,,confeitos,,,,,
Pepino_1kg,insumo,,23.47,,,,kg,,salada,,,,,
Pimentão,insumo,,8.79,,,,kg,,codimentos,,,,,
Provolone,insumo,,40.9,,,,kg,,processados,,,,,
Queijo_Colonial,insumo,,40,,,,kg,,processados,,,,,
Queijo_Muçarela_Fat,insumo,,36.9,,,,kg,,processados,,,,,
Queijo_Muçarela_Int,insumo,,36.9,,,,kg,,processados,,,,,
Queijo_Prato,insumo,,36.9,,,,kg,,processados,,,,,
Queijo_Parmesão,insumo,,49.9,,,,kg,,processados,,,,,
Creme_Cheddar,insumo,,13,,,,kg,,cremes,,,,,
Creme_Requeijão,insumo,,43.9,,,,kg,,cremes,,,,,
Salame,insumo,,39.9,,,,kg,,cremes,,,,,
Salsicha,insumo,,26.85,,,,kg,,processados,,,,,
Super_Liga_Neutra,insumo,,43.9,,,,kg,,produtos_po,,,,,
Tomate,insumo,,6.59,,,,kg,,legumes,,,,,
Toping,insumo,,28.78,,,,kg,,produtos_po,,,,,
Vinagre,insumo,,3.79,,,,ml,,codimentos,,,,,
